Date,kW,KWh,wind_speed
03 01 2018 02:20,1520.890015,1658.119112,8.21955204
03 01 2018 02:30,1349.112061,1515.649475,7.974888802
03 01 2018 02:40,889.1298218,926.0444806,6.794364929
03 01 2018 02:50,412.115509,479.4472407,5.536108017
03 01 2018 03:00,444.6036072,466.6197137,5.491714954
03 01 2018 03:10,655.7307129,650.187023,6.076754093
03 01 2018 03:20,882.5654297,882.7282325,6.69093895
03 01 2018 03:30,998.3845825,949.0116113,6.848011971
03 01 2018 03:40,1193.395996,1395.364787,7.759384155
03 01 2018 03:50,1122.712036,1215.659509,7.417626858
03 01 2018 04:00,1214.125977,1243.600054,7.472226143
03 01 2018 04:10,1086.307007,1052.768027,7.080772877
03 01 2018 04:20,1060.603027,1040.356847,7.053721905
03 01 2018 04:30,1451.713989,1399.150382,7.766314983
03 01 2018 04:40,1361.459961,1435.998878,7.833246231
03 01 2018 04:50,1490.569946,1506.776853,7.959300995
03 01 2018 05:00,1153.139038,1149.012424,7.283742905
03 01 2018 05:10,953.9760132,1016.552582,7.001252174
03 01 2018 05:20,799.0856934,910.7282546,6.758135796
03 01 2018 05:30,616.2548218,686.4114027,6.179992199
03 01 2018 05:40,646.9244995,730.5901706,6.301719189
03 01 2018 05:50,1323.682007,1267.134969,7.517776966
03 01 2018 06:00,1568.885986,1584.395551,8.094202995
03 01 2018 06:10,1580.902954,1448.061049,7.854953766
03 01 2018 06:20,1495.180054,1373.675076,7.719468117
03 01 2018 06:30,2063.868896,2046.438946,8.847901344
03 01 2018 06:40,2368.76001,2540.491731,9.631019592
03 01 2018 06:50,2516.419922,2638.971731,9.767664909
03 01 2018 07:00,2108.770996,2263.873095,9.185004234
03 01 2018 07:10,2568.111084,2746.29034,9.927650452
03 01 2018 07:20,3445.219971,3526.952507,12.03275967
03 01 2018 07:30,2994.106934,3225.769174,10.87308979
03 01 2018 07:40,2594.937012,3006.931915,10.38061047
03 01 2018 07:50,2326.825928,2987.588083,10.34302044
03 01 2018 08:00,1941.463989,2328.307526,9.283791542
03 01 2018 08:10,1581.487061,1684.577838,8.263951302
03 01 2018 08:20,1013.286987,1090.179344,7.161077023
03 01 2018 08:30,375.6176147,469.6191644,5.502151966
03 01 2018 08:40,198.1511993,253.4672425,4.645584106
03 01 2018 08:50,87.44045258,100.642022,3.847867012
03 01 2018 09:00,189.1378021,233.4558636,4.553710938
03 01 2018 09:10,434.4317932,539.5070619,5.735952854
03 01 2018 09:20,336.5007935,350.3694191,5.057969093
03 01 2018 09:30,296.6101074,317.1718028,4.922440052
03 01 2018 09:40,92.9240036,96.25248176,3.821350098
